Bet,betsite,dates,odds,fighter1,fighter2,class,url
Henry Cejudo,5Dimes,1553783776000,+150,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1553811850000,+130,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1553833449000,+120,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1554047648000,+110,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1554073565000,+115,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1554323949000,+110,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1554339613000,+115,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1554786934000,+125,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1555592227000,+120,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1555640832000,+110,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1557541990000,+115,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1557555490000,+120,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1557702367000,+110,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1557801548000,+105,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1558280346000,+100,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1558384566000,-105,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1558620547000,+100,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1558621270000,-105,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1558909626000,+100,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1559279707000,+105,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1559367368000,+110,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1559436305000,+115,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1559487425000,+100,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1559605865000,+110,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1559658254000,+115,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1559672287000,+110,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1559743928000,+115,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1559799367000,+105,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1559830506000,+115,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1559857686000,+120,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1559921947000,+125,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1559922845000,+120,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1559980267000,+125,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1560002767000,+135,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1560006727000,+140,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1560024545000,+145,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1560053705000,+140,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1560054425000,+145,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1560054966000,+150,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1560055511000,+145,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1560055685000,+345,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1560055867000,+145,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1560056045000,-120,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,5Dimes,1560056227000,+145,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,BetDSI,1559721786000,+110,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
Henry Cejudo,BetDSI,1559757786000,+111,Henry Cejudo,Marlon Moraes,even,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
