Bet,betsite,dates,odds,fighter1,fighter2,class,url
Chris Weidman,5Dimes,1565211791000,+145,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1565211969000,+115,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1565213949000,+135,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1565233392000,+155,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1565400791000,+145,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1565545150000,+130,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1565742972000,+145,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1566242467000,+140,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1566357492000,+135,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1567699390000,+140,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1568584447000,+145,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1569008171000,+135,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1570973588000,+140,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1570984928000,+135,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1570994107000,+130,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571065927000,+135,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571104264000,+145,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571153948000,+150,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571248266000,+155,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571260144000,+150,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571264103000,+145,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571345297000,+150,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571413507000,+160,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571425207000,+165,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571426107000,+160,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571431865000,+155,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571442667000,+160,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571451847000,+165,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571452566000,+167,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571455627000,+170,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571456529000,+175,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,5Dimes,1571456884000,+170,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,BetDSI,1570248191000,+131,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,BetDSI,1570307587000,+129,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,BetDSI,1570342687000,+127,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,BetDSI,1570444384000,+132,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,BetDSI,1570522688000,+133,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,BetDSI,1570565884000,+132,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,BetDSI,1570705386000,+137,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,BetDSI,1570752751000,+133,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,BetDSI,1570801690000,+137,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,BetDSI,1570858388000,+135,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,BetDSI,1570943887000,+132,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,BetDSI,1570959187000,+130,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
Chris Weidman,BetDSI,1570986186000,+132,Chris Weidman,Dominick Reyes,even,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
