Bet,betsite,dates,odds,fighter1,fighter2,class,url
Daniel Cormier,5Dimes,1557167048000,-165,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1557541990000,-170,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1557764467000,-155,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1557803528000,-150,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1557875350000,-160,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1557892448000,-155,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1558289528000,-150,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1558392313000,-140,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1558471146000,-135,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1559486706000,-130,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1559486886000,-135,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1560724745000,-140,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1561955585000,-145,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1563695829000,-140,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1564353909000,-135,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1564440316000,-140,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1564604291000,-145,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
Daniel Cormier,5Dimes,1564870690000,-150,Daniel Cormier,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
