Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jorge Masvidal,5Dimes,1567873809000,-190,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1567874532000,-230,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1567874707000,-280,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1567876510000,-230,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1567879576000,-245,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1567880202000,-215,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1567881367000,-245,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1567916829000,-230,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1567958589000,-215,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1567959674000,-230,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1568057947000,-215,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1568065510000,-225,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1568119870000,-205,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1568208607000,-215,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1568240657000,-210,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1568416151000,-190,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1568560689000,-185,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1568817008000,-175,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1569711073000,-185,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1570119129000,-170,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1570810532000,-160,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1570816627000,-165,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1570863067000,-170,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1571497745000,-165,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1571670007000,-170,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1571760546000,-165,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
Jorge Masvidal,5Dimes,1571780345000,-160,Jorge Masvidal,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
