Bet,betsite,dates,odds,fighter1,fighter2,class,url
John Lineker,5Dimes,1465054385000,-150,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1465106404000,-165,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1465422847000,-175,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1465488905000,-165,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1466804885000,-175,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468174505000,-170,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468174685000,-175,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468279444000,-170,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468330565000,-175,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468332005000,-170,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468346224000,-160,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468396992000,-155,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468401665000,-160,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468457825000,-155,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468460181000,-135,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468460361000,-125,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468460527000,-115,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468460705000,-110,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468461426000,+100,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468463225000,-105,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468466645000,+100,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,5Dimes,1468467366000,-105,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,BetDSI,1467509765000,-180,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,BetDSI,1468333265000,-175,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
John Lineker,BetDSI,1468333444000,-180,John Lineker,Michael McDonald,even,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
