Bet,betsite,dates,odds,fighter1,fighter2,class,url
Dan Henderson,5Dimes,1394760787000,+165,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1394835721000,+145,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1394839022000,+155,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1394926755000,+165,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1394996225000,+175,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395025025000,+185,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395171194000,+195,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395185768000,+200,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395236526000,+210,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395262630000,+195,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395319869000,+200,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395409881000,+205,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395512826000,+210,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395590055000,+215,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395598875000,+220,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395603549000,+230,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395611829000,+225,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395617044000,+215,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395617224000,+200,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395617584000,+190,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395617945000,+185,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395618484000,+165,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395618665000,+150,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395618846000,+145,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395619025000,+160,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395619206000,+155,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395619385000,+145,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395619749000,+165,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
Dan Henderson,5Dimes,1395620382000,+170,Dan Henderson,Mauricio Rua,even,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
